prefix,uri,rdfxml,turtle/n3,ntriples,rdfa,xml schema,json
xforms,http://www.w3.org/2002/xforms/,,,,,,
ok,http://okkam.org/terms#,,,,,,
swanq,http://purl.org/swan/1.2/qualifiers/,,,,,,
swanqs,http://purl.org/swan/1.2/qualifiers/,,,,,,
sider,http://www4.wiwiss.fu-berlin.de/sider/resource/sider/,,,,,,
lomvoc,http://ltsc.ieee.org/rdf/lomv1p0/vocabulary#,,,,,,
wn20schema,http://www.w3.org/2006/03/wn/wn20/schema/,,,,,,
swande,http://purl.org/swan/1.2/discourse-elements/,,,,,,
rif,http://www.w3.org/2007/rif#,,,,,http://www.w3.org/2007/rif.xml,
sr,http://www.openrdf.org/config/repository/sail#,,,,,,
daia,http://purl.org/ontology/daia/,,http://uri.gbv.de/ontology/daia/?format=n3,,,,
jdbc,http://d2rq.org/terms/jdbc/,,,,,,
movie,http://data.linkedmdb.org/resource/movie/,,,,,,
ac,http://umbel.org/umbel/ac/,,,,,,
pto,http://www.productontology.org/id/,,,,,,
po,http://purl.org/ontology/po/,,http://purl.org/ontology/po/2009-09-07.n3,,,,
uniprot,http://purl.uniprot.org/core/,ftp://ftp.uniprot.org/pub/databases/uniprot/current_release/rdf/core.owl,,,,,
granatum,http://chem.deri.ie/granatum/,,,,,,
ov,http://open.vocab.org/terms/,,,,,,
open,http://open.vocab.org/terms/,,,,,,
daml,http://www.daml.org/2001/03/daml+oil#,,,,,,
usgov,http://www.rdfabout.com/rdf/schema/usgovt/,,,,,,
prv,http://purl.org/net/provenance/ns#,,,,,,
hartigprov,http://purl.org/net/provenance/ns#,,,,,,
politico,http://www.rdfabout.com/rdf/schema/politico/,,,,,,
oauth,http://demiblog.org/vocab/oauth#,,,,,,
wn,http://xmlns.com/wordnet/1.6/,,,,,,
taxo,http://purl.org/rss/1.0/modules/taxonomy/,,,,,,
vote,http://www.rdfabout.com/rdf/schema/vote/,,,,,,
lgd,http://linkedgeodata.org/ontology/,,,,,,
lgdo,http://linkedgeodata.org/ontology/,,,,,,
lgv,http://linkedgeodata.org/ontology/,,,,,,
omt,http://purl.org/ontomedia/ext/common/trait#,,,,,,
doac,http://ramonantonio.net/doac/0.1/#,,,,,,
affy,http://www.affymetrix.com/community/publications/affymetrix/tmsplice#,,,,,,
rep,http://www.openrdf.org/config/repository#,,,,,,
abc,http://www.metadata.net/harmony/ABCSchemaV5Commented.rdf#,,,,,,
scot,http://scot-project.org/scot/ns#,,,,,,
spc,http://purl.org/ontomedia/core/space#,,,,,,
acm,http://www.semanticweb.org/ontologies/2012/acm.owl#,,,,,,
fec,http://www.rdfabout.com/rdf/schema/usfec/,,,,,,
lotico,http://www.lotico.com/resource/,,,,,,
swrl,http://www.w3.org/2003/11/swrl#,,,,,,
ya,http://blogs.yandex.ru/schema/foaf/,,,,,,
video,http://purl.org/media/video#,,,,http://payswarm.com/vocabs/video,,
audio,http://purl.org/media/audio#,,,,http://payswarm.com/vocabs/audio,,
sede,http://eventography.org/sede/0.1/,,,,,,
bio2rdf,http://bio2rdf.org/,,,,,,
wdr,http://www.w3.org/2007/05/powder#,,,,,,
powder,http://www.w3.org/2007/05/powder#,,,,,,
protege,http://protege.stanford.edu/system#,http://protege.stanford.edu/system#,,,,,
imm,http://schemas.microsoft.com/imm/,,,,,,
kwijibo,http://kwijibo.talis.com/,,,,,,
airport,http://www.daml.org/2001/10/html/airport-ont#,http://www.daml.org/2001/10/html/airport-ont#,,,,,
p3p,http://www.w3.org/2002/01/p3prdfv1#,http://www.w3.org/2002/01/p3prdfv1#,,,,,
omb,http://purl.org/ontomedia/ext/common/being#,,,,,,
swrlb,http://www.w3.org/2003/11/swrlb#,,,,,,
lx,http://purl.org/NET/lx#,,http://bloody-byte.net/rdf/lx/lx.ttl,,,,
omc,http://purl.org/ontomedia/ext/common/bestiary#,,,,,,
iswc,http://annotation.semanticweb.org/2004/iswc#,,,,,,
omp,http://purl.org/ontomedia/ext/common/profession#,,,,,,
atom,http://www.w3.org/2005/Atom/,,,,,,
osoc,http://web-semantics.org/ns/opensocial#,,,,,,
dailymed,http://www4.wiwiss.fu-berlin.de/dailymed/resource/dailymed/,,,,,,
umbel,http://umbel.org/umbel#,,http://umbel.org/umbel/,,,,
lom,http://ltsc.ieee.org/rdf/lomv1p0/lom#,,,,,,
acc,http://purl.org/NET/acc#,,http://bloody-byte.net/rdf/account/acc.ttl,,,,
sail,http://www.openrdf.org/config/sail#,,,,,,
ne,http://umbel.org/umbel/ne/,,,,,,
unit,http://qudt.org/vocab/unit#,http://qudt.org/vocab/unit#,,,,,
hlisting,http://sindice.com/hlisting/0.1/,,,,,,
custom,http://www.openrdf.org/config/sail/custom#,,,,,,
music,http://musicontology.com/,http://musicontology.com/musicontology.rdfs,http://musicontology.com/musicontology.n3,,,,
smiley,http://www.smileyontology.com/ns#,http://www.smileyontology.com/ns/ns02/SmileyOntology.rdf,,,,,
ibis,http://purl.org/ibis#,,,,,,
prj,http://purl.org/stuff/project/,,,,,,
wnschema,http://www.cogsci.princeton.edu/~wn/schema/,,,,,,
osgb,http://data.ordnancesurvey.co.uk/id/,,,,,,
test,http://test2.example.com/,,,,,,
meetup,http://www.lotico.com/meetup/,,,,,,
formats,http://www.w3.org/ns/formats/,,,,,,
space,http://purl.org/net/schemas/space/,,,,,,
tdb,http://jena.hpl.hp.com/2008/tdb#,,,,,,
sdl,http://purl.org/vocab/riro/sdl#,http://vocab.org/riro/sdl.owl,,,,,
phss,http://ns.poundhill.com/phss/1.0/,,,,,,
lfn,http://www.dotnetrdf.org/leviathan#,,,,,,
omm,http://purl.org/ontomedia/core/media#,,,,,,
moat,http://moat-project.org/ns#,,,,,,
qdoslf,http://foaf.qdos.com/lastfm/schema/,,,,,,
trackback,http://madskills.com/public/xml/rss/module/trackback/,,,,,,
gold,http://purl.org/linguistics/gold/,http://linguistics-ontology.org/gold-2010.owl,,,,,
product,http://purl.org/commerce/product#,,,,,,
oat,http://openlinksw.com/schemas/oat/,,,,,,
swandr,http://purl.org/swan/1.2/discourse-relationships/,,,,,,
climb,http://climb.dataincubator.org/vocabs/climb/,,,,,,
fed,http://www.openrdf.org/config/sail/federation#,,,,,,
sesame,http://www.openrdf.org/schema/sesame#,,,,,,
opensearch,http://a9.com/-/spec/opensearch/1.1/,,,,,,
gpt,http://purl.org/vocab/riro/gpt#,http://vocab.org/riro/gpt.owl,,,,,
pmt,http://tipsy.googlecode.com/svn/trunk/vocab/pmt#,,,,,,
swh,http://plugin.org.uk/swh-plugins/,,,,,,
biocore,http://bio2rdf.org/core:,,,,,,
wisski,http://wiss-ki.eu/,,,,,,
bsbm,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/,,,,,,
opm,http://openprovenance.org/ontology#,,,,,,
cycann,http://sw.cyc.com/CycAnnotations_v1#,,,,,,
imreg,http://www.w3.org/2004/02/image-regions#,,,,,,
states,http://www.w3.org/2005/07/aaa#,,,,,,
dummy,http://hello.com/,,,,,,
xesam,http://freedesktop.org/standards/xesam/1.0/core#,,,,,,
conserv,http://conserv.deri.ie/ontology#,,,,,,
ddl,http://purl.org/vocab/riro/ddl#,http://vocab.org/riro/ddl.owl,,,,,
mysql,http://web-semantics.org/ns/mysql/,,,,,,
swanag,http://purl.org/swan/1.2/agents/,,,,,,
psych,http://purl.org/vocab/psychometric-profile/,http://vocab.org/psychometric-profile/psych-vocab-20040427.rdf,,,,,
sl,http://www.semanlink.net/2001/00/semanlink-schema#,http://www.semanlink.net/2001/00/semanlink-schema#,,,,,
xhtmlvocab,http://www.w3.org/1999/xhtml/vocab/,,,,,,
urn,http://fliqz.com/,,,,,,
mf,http://poshrdf.org/ns/mf#,,,,,,
sysont,http://ns.ontowiki.net/SysOnt/,,,,,,
play,http://uriplay.org/spec/ontology/#,,,,,,
puc,http://purl.org/NET/puc#,,http://bloody-byte.net/rdf/puc/puc.ttl,,,,
evset,http://dsnotify.org/vocab/eventset/0.1/,,,,,,
coin,http://purl.org/court/def/2009/coin#,,http://purl.org/court/def/2009/coin#,,,,
swanpav,http://purl.org/swan/1.2/pav/,,,,,,
tripfs,http://purl.org/tripfs/2010/02#,,,,,,
ttl,http://www.w3.org/2008/turtle#,,,,,,
swanco,http://purl.org/swan/1.2/swan-commons/,,,,,,
swanci,http://purl.org/swan/1.2/citations/,,,,,,
ldap,http://purl.org/net/ldap/,,,,,,
txn,http://lod.taxonconcept.org/ontology/txn.owl#,http://lod.taxonconcept.org/ontology/txn.owl#,,,,,
sparql,http://www.openrdf.org/config/repository/sparql#,,,,,,
lark1,http://users.utcluj.ro/~raluca/ontology/Ontology1279614123500.owl#,,,,,,
wlp,http://weblab-project.org/core/model/property/processing/,,,,,,
ct,http://data.linkedct.org/resource/linkedct/,,,,,,
anca,http://users.utcluj.ro/~raluca/rdf_ontologies_ralu/ralu_modified_ontology_pizzas2_0#,,,,,,
aifb,http://www.aifb.kit.edu/id/,,,,,,
kb,http://deductions.sf.net/ontology/knowledge_base.owl#,,,,,,
geoes,http://geo.linkeddata.es/ontology/,,,,,,
dayta,http://dayta.me/resource#,,,,,,
xbrli,http://www.xbrl.org/2003/instance#,,,,,,
swid,http://semanticweb.org/id/,,,,,,
prot,http://www.proteinontology.info/po.owl#,,,,,,
sdmx,http://purl.org/linked-data/sdmx#,,http://purl.org/linked-data/sdmx#,,,,
opmv,http://purl.org/net/opmv/ns#,,,,http://open-biomed.sourceforge.net/opmv/ns.html,,
copyright,http://rhizomik.net/ontologies/2008/05/copyrightonto.owl#,http://rhizomik.net/ontologies/2008/05/copyrightonto.owl#,,,,,
remus,http://www.semanticweb.org/ontologies/2010/6/Ontology1279614123500.owl#,,,,,,
sawsdl,http://www.w3.org/ns/sawsdl#,,,,,http://www.w3.org/ns/sawsdl#,
cos,http://www.inria.fr/acacia/corese#,,,,,,
postcode,http://data.ordnancesurvey.co.uk/id/postcodeunit/,,,,,,
ean,http://openean.kaufkauf.net/id/,,,,,,
hcterms,http://purl.org/uF/hCard/terms/,,,,,,
hcard,http://purl.org/uF/hCard/terms/,,,,,,
act,http://www.w3.org/2007/rif-builtin-action#,,,,,,
opus,http://lsdis.cs.uga.edu/projects/semdis/opus#,,,,,,
geospecies,http://rdf.geospecies.org/ont/geospecies#,,,,,,
nsa,http://multimedialab.elis.ugent.be/organon/ontologies/ninsuna#,,,,,,
loticoowl,http://www.lotico.com/ontology/,,,,,,
go,http://www.geneontology.org/go#,,,,,,
dgfoaf,http://west.uni-koblenz.de/ontologies/2010/07/dgfoaf.owl#,,,,,,
conv,http://purl.org/twc/vocab/conversion/,,http://purl.org/twc/vocab/conversion/,,,,
conversion,http://purl.org/twc/vocab/conversion/,,http://purl.org/twc/vocab/conversion/,,,,
dblp,http://www4.wiwiss.fu-berlin.de/dblp/terms.rdf#,,,,,,
pgterms,http://www.gutenberg.org/2009/pgterms/,,,,,,
yoda,http://purl.org/NET/yoda#,,,,,,
posh,http://poshrdf.org/ns/posh/,,,,,,
linkedct,http://data.linkedct.org/vocab/,,,,,,
session,http://redfoot.net/2005/session#,,,,,,
com,http://purl.org/commerce#,,,,http://payswarm.com/vocabs/commerce,,
commons,http://commons.psi.enakting.org/def/,,,,,,
tripfs2,http://purl.org/tripfs/2010/06#,,,,,,
rnews,http://iptc.org/std/rNews/2011-10-07#,,,,,,
wordnet,http://purl.org/vocabularies/princeton/wordnet/schema#,,,,,,
odp,http://ontologydesignpatterns.org/,,,,,,
fab,http://purl.org/fab/ns#,,,,,,
enc,http://www.w3.org/2001/04/xmlenc#,,,,,,
w3p,http://prov4j.org/w3p/,,,,,,
geodata,http://sws.geonames.org/,,,,,,
r2r,http://www4.wiwiss.fu-berlin.de/bizer/r2r/,,,,,,
provenir,http://knoesis.wright.edu/provenir/provenir.owl#,,,,,,
dul,http://www.loa-cnr.it/ontologies/DUL.owl#,http://www.loa.istc.cnr.it/ontologies/DUL.owl,,,,,
webtlab,http://webtlab.it.uc3m.es/,,,,,,
lp,http://launchpad.net/rdf/launchpad#,,,,,,
pobo,http://purl.obolibrary.org/obo/,,,,,,
obo,http://purl.obolibrary.org/obo/,,,,,,
ero,http://purl.obolibrary.org/obo/,,,,,,
nocal,http://vocab.deri.ie/nocal#,,,,,,
phil,http://philosurfical.open.ac.uk/ontology/philosurfical.owl/,,,,,,
esd,http://def.esd.org.uk/,,,,,,
lvont,http://lexvo.org/ontology#,http://lexvo.org/ontology#,,,,,
lexvo,http://lexvo.org/ontology#,http://lexvo.org/ontology#,,,,,
sindice,http://vocab.sindice.net/,,,,,,
schema,http://schema.org/,http://schema.rdfs.org/all.rdf,http://schema.rdfs.org/all.ttl,http://schema.rdfs.org/all.nt,,,http://schema.rdfs.org/all.json
ass,http://uptheasset.org/ontology#,,,,,,
uta,http://uptheasset.org/ontology#,,,,,,
quak,http://dev.w3.org/cvsweb/2000/quacken/vocab#,,,,,,
agetec,http://www.agetec.org/,,,,,,
edm,http://www.europeana.eu/schemas/edm/,,,,,http://www.europeana.eu/schemas/edm/EDM.xsd,
req,http://ns.softwiki.de/req/,http://ns.softwiki.de/req/?format=rdfxml,http://ns.softwiki.de/req/?format=turtle,,,,
linkedmdb,http://data.linkedmdb.org/sparql/,,,,,,
aair,http://xmlns.notu.be/aair#,http://xmlns.notu.be/aair/index.rdf,,,,,
prism,http://prismstandard.org/namespaces/basic/2.0/,,,,,,
ps,http://purl.org/payswarm#,,,,http://payswarm.com/vocabs/payswarm,,
xsl,http://www.w3.org/1999/XSL/Transform#,,,,,,
db,http://dbpedia.org/,,,,,,
opwn,http://www.ontologyportal.org/WordNet.owl#,,,,,,
eat,http://www.awesomesauce.net/urmom/,,,,,,
umbelrc,http://umbel.org/umbel/rc/,,,,,,
pom,http://maven.apache.org/POM/4.0.0#,,,,,,
cordis,http://www4.wiwiss.fu-berlin.de/cordis/resource/cordis/,,,,,,
govwild,http://govwild.org/ontology/GWOntology.owl#,,,,,,
openlinks,http://www.openlinksw.com/schemas/virtrdf#,,,,,,
uni,http://purl.org/weso/uni/uni.html#,,,,,,
card,http://www.ashutosh.com/test/,,,,,,
wao,http://webtlab.it.uc3m.es/2010/10/WebAppsOntology#,,,,,,
tei,http://www.tei-c.org/ns/1.0/,,,,,,
sig,http://purl.org/signature#,,,,http://payswarm.com/vocabs/signature,,
voaf,http://mondeca.com/foaf/voaf#,,,,,,
prvtypes,http://purl.org/net/provenance/types#,http://purl.org/net/provenance/types#,,,,,
decl,http://www.linkedmodel.org/1.0/schema/decl#,,,,,,
coeus,http://bioinformatics.ua.pt/coeus/,,,,,,
span,http://www.ifomis.org/bfo/1.1/span#,,,,,,
semtweet,http://semantictweet.com/,,,,,,
cpm,http://catalogus-professorum.org/cpm/,,,,,,
scowt,http://purl.org/weso/ontologies/scowt#,,,,,,
aneo,http://akonadi-project.org/ontologies/aneo#,,,,,,
hints2005,http://purl.org/twc/cabig/model/HINTS2005-1.owl#,,,,,,
zem,http://s.zemanta.com/ns#,,,,,,
res,http://www.w3.org/2005/sparql-results#,,,,,http://www.w3.org/2007/SPARQL/result.xsd,
ccard,http://purl.org/commerce/creditcard#,,,,,,
arch,http://purl.org/archival/vocab/arch#,,,,,,
p20,http://zbw.eu/beta/p20/vocab/,,,,http://zbw.eu/beta/p20/vocab/index,,
sco,http://purl.org/ontology/sco#,,,,,,
out,http://ontologies.hypios.com/out#,http://research.hypios.com/neologism/out.rdf,http://research.hypios.com/neologism/out.n3,,,,
eco,http://www.ebusiness-unibw.org/ontologies/eclass/5.1.4/#,,,,,,
cpv,http://purl.org/weso/cpv/,,,,,,
edam,http://purl.bioontology.org/ontology/EDAM/,,,,,,
campsite,http://www.openlinksw.com/campsites/schema#,,,,,,
ann,http://www.w3.org/2000/10/annotation-ns#,http://www.w3.org/2000/10/annotation-ns#,,,,,
diseasome,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseasome/,,,,,,
gc,http://www.oegov.org/core/owl/gc#,http://www.oegov.org/core/owl/gc#,,,,,
sio,http://semanticscience.org/resource/,,,,,,
rv,http://wifo-ravensburg.de/semanticweb.rdf#,,,,,,
saxon,http://saxon.sf.net/,,,,,,
soap,http://www.w3.org/2003/05/soap-envelope/,,,,,http://www.w3.org/2003/05/soap-envelope/,
gml,http://www.opengis.net/gml/,,,,,,
mte,http://nl.ijs.si/ME/owl/,,,,,,
mtecore,http://purl.org/olia/mte/multext-east.owl#,http://nl.ijs.si/ME/owl/multext-east.owl,,,,,
vitro,http://vitro.mannlib.cornell.edu/ns/vitro/public#,http://vitro.mannlib.cornell.edu/ns/vitro/public#,,,,,
iron,http://purl.org/ontology/iron#,,,,,,
rich,http://rdf.data-vocabulary.org/,http://rdf.data-vocabulary.org/rdf.xml,,,,,
rdo,http://purl.org/rdo/ns#,,,,,,
name,http://example.org/name#,,,,,,
rdfdf,http://www.openlinksw.com/virtrdf-data-formats#,,,,,,
eye,http://jena.hpl.hp.com/Eyeball#,,,,,,
kw,http://kwantu.net/kw/,,,,,,
telmap,http://purl.org/telmap/,,,,,,
biordf,http://purl.org/net/biordfmicroarray/ns#,http://purl.org/net/biordfmicroarray/ns#,,,,,
govtrackus,http://www.rdfabout.com/rdf/usgov/geo/us/,,,,,,
vsto,http://escience.rpi.edu/ontology/vsto/2/0/vsto.owl#,http://escience.rpi.edu/ontology/vsto/2/0/vsto.owl#,,,,,
wm,http://ns.inria.fr/webmarks#,,,,,,
fct,http://openlinksw.com/services/facets/1.0/,,,,,,
rdb,http://www.dbs.cs.uni-duesseldorf.de/RDF/relational#,,,,,,
mei,http://www.music-encoding.org/ns/mei/,,,,,,
place,http://purl.org/ontology/places/,,,,,,
nytimes,http://data.nytimes.com/elements/,,,,,,
teach,http://linkedscience.org/teach/ns#,,,,http://linkedscience.org/teach/ns/,,
lodac,http://lod.ac/ns/lodac#,,,,,,
shv,http://ns.aksw.org/spatialHierarchy/,,,,,,
skiresort,http://www.openlinksw.com/ski_resorts/schema#,,,,,,
qudt,http://qudt.org/1.1/schema/qudt#,http://qudt.org/1.1/schema/qudt#,,,,,
s3db,http://www.s3db.org/core#,,http://204.232.200.16/s3ql/core.n3,,,,
sec,http://purl.org/security#,,,,,,
eui,http://institutions.publicdata.eu/#,,,,http://institutions.publicdata.eu/#,,
tmpl,http://purl.org/restdesc/http-template#,,,,,,
jita,http://aims.fao.org/aos/jita/,,,,,,
kontakt,http://richard.cyganiak.de/,,,,,,
geovocab,http://geovocab.org/,,,,,,
cheminf,http://www.semanticweb.org/ontologies/cheminf.owl#,,,,,,
psh,http://psh.techlib.cz/skos/,,,,,,
pf,http://jena.hpl.hp.com/ARQ/property#,,,,,,
overheid,http://standaarden.overheid.nl/owms/,,,,,,
cvbase,http://purl.org/captsolo/resume-rdf/0.2/base#,,,,,,
rating,http://www.tvblob.com/ratings/#,http://storage.tvblob.com/archive/RatingsOnt.rdf.xml,,,,,
ocd,http://dati.camera.it/ocd/,http://dati.camera.it/ocd/classi.rdf,,,,,
georss,http://www.georss.org/georss/,,,,,,
grs,http://www.georss.org/georss/,,,,,,
wikipedia,http://www.systemone.at/2006/03/wikipedia#,,,,,,
frir,http://purl.org/twc/ontology/frir.owl#,https://raw.github.com/timrdf/csv2rdf4lod-automation/master/doc/ontology/frir.owl,,,,,
xt,http://purl.org/twc/vocab/cross-topix#,,https://raw.github.com/samuelbjohnson/cross-topix/master/ontology/vocab.ttl,,,,
nsogi,http://prefix.cc/nsogi:,,,,,,
mygrid,http://www.mygrid.org.uk/ontology#,http://www.mygrid.org.uk/ontology/,,,,,
cdm,http://purl.org/twc/ontology/cdm.owl#,https://raw.github.com/timrdf/csv2rdf4lod-automation/master/doc/ontology/cdm.owl,,,,,
infosys,http://www.infosys.com/,,,,,,
gbv,http://purl.org/ontology/gbv/,,http://uri.gbv.de/ontology/gbv/?format=n3,,,,
b2rpubchem,http://bio2rdf.org/ns/ns/ns/pubchem#,,,,,,
vdpp,http://data.lirmm.fr/ontologies/vdpp#,,,,,,
chebi,http://bio2rdf.org/chebi:,,,,,,
gnd,http://d-nb.info/gnd/,,,,,,
dnb,http://d-nb.info/gnd/,,,,,,
example,http://www.example.org/rdf#,,,,,,
italy,http://data.kasabi.com/dataset/italy/schema/,,,,,,
daiaserv,http://purl.org/ontology/daia/Service/,,,,,,
wfdesc,http://purl.org/wf4ever/wfdesc#,http://purl.org/wf4ever/wfdesc#,,,,,
fc,http://www.freeclass.eu/freeclass_v1#,,,,,,
biopax,http://bio2rdf.org/ns/biopax#,,,,,,
rdfdata,http://rdf.data-vocabulary.org/rdf.xml#,http://rdf.data-vocabulary.org/rdf.xml#,,,,,
arecipe,http://purl.org/amicroformat/arecipe/,http://rat.io/nal/amicroformat/arecipe/arecipe.rdf,http://rat.io/nal/amicroformat/arecipe/arecipe.n3,,,,
protegedc,http://protege.stanford.edu/plugins/owl/dc/protege-dc.owl#,http://protege.stanford.edu/plugins/owl/dc/protege-dc.owl#,,,,,
efo,http://www.ebi.ac.uk/efo/,http://www.ebi.ac.uk/efo/efo.owl,,,,,
calli,http://callimachusproject.org/rdf/2009/framework#,,,,,,
harrisons,http://harrisons.cc/,,,,,,
sdmxdim,http://purl.org/linked-data/sdmx/2009/dimension#,,http://purl.org/linked-data/sdmx/2009/dimension#,,,,
isbd,http://iflastandards.info/ns/isbd/elements/,http://metadataregistry.org/schema/show/id/25.rdf,,,,,
xlink,http://www.w3.org/1999/xlink/,,,,,,
tcga,http://purl.org/tcga/core#,,,,,,
ipad,http://www.padinthecity.com/,,,,,,
prf,http://www.openmobilealliance.org/tech/profiles/UAPROF/ccppschema-20021212#,,,,,,
func,http://www.w3.org/2007/rif-builtin-function#,,,,,,
blt,http://data.bl.uk/schema/bibliographic#,,,,,,
moby,http://www.mygrid.org.uk/mygrid-moby-service#,http://www.mygrid.org.uk/mygrid-moby-service#,,,,,
rdagr1,http://rdvocab.info/Elements/,http://metadataregistry.org/schema/show/id/1.rdf,,,,,
wp,http://vocabularies.wikipathways.org/,,,,,,
omapi,http://purl.org/omapi/0.2/#,,,,,,
osukdt,http://www.ordnancesurvey.co.uk/ontology/Datatypes.owl#,,,,,,
rdamedia,http://rdvocab.info/termList/RDAMediaType/,http://metadataregistry.org/vocabulary/show/id/37.rdf,,,,,
goef,http://purl.org/twc/vocab/goef#,,,,,,
omv,http://omv.ontoware.org/2005/05/ontology#,http://omv.ontoware.org/2005/05/ontology#,,,,,
enhancer,http://stanbol.apache.org/ontology/enhancer/enhancer#,,,,,,
poder,http://poderopedia.com/vocab/,,,,,,
vsw,http://verticalsearchworks.com/ontology/,,,,,,
aerols,http://xmlns.com/aerols/0.1/,,,,,,
puelia,http://kwijibo.talis.com/vocabs/puelia#,,,,,,
voidp,http://www.enakting.org/provenance/voidp/,,http://www.enakting.org/provenance/voidp/index.n3,,,,
metalex,http://www.metalex.eu/schema/1.0#,,,,,,
vsr,http://purl.org/twc/vocab/vsr#,http://purl.org/twc/vocab/vsr#,,,,,
fls,http://lukasblaho.sk/football_league_schema#,,,,,,
life,http://life.deri.ie/schema/,,,,,,
rda,http://rdvocab.info/elements/,http://metadataregistry.org/schema/show/id/1.rdf,,,,,
rdrel,http://rdvocab.info/RDARelationshipsWEMI/,http://metadataregistry.org/schema/show/id/13.rdf,,,,,
muni,http://purl.org/ontology/muni#,,,,,,
rdacarrier,http://rdvocab.info/termList/RDACarrierType/,http://metadataregistry.org/vocabulary/show/id/46.rdf,,,,,
ogorg,http://opengraph.org/schema/,,,,,,
marcrel,http://id.loc.gov/vocabulary/relators/,,,,,,
mohammad,http://manesht.ir/,,,,,,
mpeg7,http://rhizomik.net/ontologies/2005/03/Mpeg7-2001.owl#,http://rhizomik.net/ontologies/2005/03/Mpeg7-2001.owl#,,,,,
lctr,http://data.linkedct.org/vocab/resource/,,,,,,
ql,http://www.w3.org/2004/ql#,,,,,,
marl,http://purl.org/marl/ns#,http://marl.gi2mo.org/0.2/ns.owl,,,,,
prviv,http://purl.org/net/provenance/integrity#,http://purl.org/net/provenance/integrity#,,,,,
germplasm,http://purl.org/germplasm/terms#,,,,,,
xkos,http://purl.org/linked-data/xkos#,,https://raw.github.com/linked-statistics/xkos/master/xkos.ttl,,,,
pml,http://provenanceweb.org/ns/pml#,https://raw.github.com/timrdf/pml/master/ontology/pml-3.0.owl,,,,,
kupkb,http://www.e-lico.eu/data/kupkb/,,,,,,
npgd,http://ns.nature.com/datasets/,,,,,,
ncbitaxon,http://purl.org/obo/owl/NCBITaxon#,http://www.berkeleybop.org/ontologies/owl/NCBITaxon,,,,,
cts2,http://schema.omg.org/spec/CTS2/1.0/,,,,,,
eumida,http://data.kasabi.com/dataset/eumida/terms/,,,,,,
fcm,http://eulersharp.sourceforge.net/2006/02swap/fcm#,,,,,,
okg,http://openknowledgegraph.org/ontology/,,,,,,
sdgp,http://stats.data-gov.ie/property/,,,,,,
br,http://purl.org/business-register#,http://purl.org/business-register#,,,,,
oac,http://www.openannotation.org/ns/,http://www.openannotation.org/ns/,,,,,
wkd,http://schema.wolterskluwer.de/,,,,,,
prism21,http://prismstandard.org/namespaces/basic/2.1/,,,,,,
wfprov,http://purl.org/wf4ever/wfprov#,http://purl.org/wf4ever/wfprov#,,,,,
rdacontent,http://rdvocab.info/termList/RDAContentType/,http://metadataregistry.org/vocabulary/show/id/45.rdf,,,,,
npgg,http://ns.nature.com/graphs/,,,,,,
vsws,http://verticalsearchworks.com/ontology/synset#,,,,,,
sgv,http://www.w3.org/TR/SVG/,,,,,,
dpl,http://dbpedialite.org/things/,,,,,,
myprefix,http://myprefix.org/,,,,,,
